motherboard_name,motherboard_brand,motherboard_color,motherboard_supported_ram_type,motherboard_price,motherboard_value,ram_name,ram_brand,ram_color,ram_type,ram_rgb,ram_price,ram_value,total_price,total_value,score
Gigabyte B650 AM5 Mini-ITX MB-0280,Gigabyte,white,DDR3,1863,57,G.SKILL DDR3 64GB 6000MHz 1x RAM-0717,G.SKILL,gray,DDR3,yes,1145,74,3008,131,68.75
MSI B650 LGA1700 Mini-ITX MB-1689,MSI,black,DDR3,1922,96,Corsair DDR3 32GB 3200MHz 4x RAM-1119,Corsair,black,DDR3,yes,327,83,2249,179,64.286
MSI B650 LGA1700 mATX MB-1573,MSI,gray,DDR3,1656,94,Crucial DDR3 16GB 6400MHz 1x RAM-0699,Crucial,black,DDR3,no,490,66,2146,160,55.952
Gigabyte B650 LGA1700 mATX MB-0388,Gigabyte,gray,DDR3,724,64,G.SKILL DDR3 8GB 5600MHz 4x RAM-1069,G.SKILL,black,DDR3,no,930,77,1654,141,54.762
ASUS B650 AM5 ATX MB-1019,ASUS,gray,DDR3,1746,58,Corsair DDR3 32GB 5600MHz 2x RAM-1805,Corsair,black,DDR3,yes,1094,93,2840,151,51.786
Gigabyte B760 AM5 Mini-ITX MB-0747,Gigabyte,black,DDR3,1733,80,Crucial DDR3 16GB 4800MHz 1x RAM-2303,Crucial,white,DDR3,yes,1218,99,2951,179,50.0
Gigabyte B760 LGA1700 mATX MB-0873,Gigabyte,gray,DDR3,848,87,Crucial DDR3 32GB 3200MHz 1x RAM-1310,Crucial,gray,DDR3,yes,713,67,1561,154,50.0
MSI X670 LGA1700 ATX MB-2194,MSI,silver,DDR4,358,73,Corsair DDR4 8GB 3200MHz 2x RAM-1800,Corsair,silver,DDR4,yes,1334,68,1692,141,43.452
MSI B650 LGA1700 Mini-ITX MB-0863,MSI,gray,DDR5,2003,52,G.SKILL DDR5 32GB 3200MHz 4x RAM-1516,G.SKILL,gray,DDR5,yes,1216,91,3219,143,42.857
MSI X670 LGA1700 mATX MB-1329,MSI,white,DDR5,1795,50,G.SKILL DDR5 8GB 3200MHz 4x RAM-0317,G.SKILL,white,DDR5,yes,392,66,2187,116,41.071
Biostar X670 LGA1700 Mini-ITX MB-1285,Biostar,gray,DDR5,2298,80,G.SKILL DDR5 64GB 5600MHz 4x RAM-2796,G.SKILL,silver,DDR5,yes,1148,80,3446,160,41.071
ASRock X670 LGA1700 ATX MB-0284,ASRock,black,DDR3,1726,55,Crucial DDR3 16GB 1333MHz 4x RAM-1535,Crucial,gray,DDR3,no,530,62,2256,117,37.897
ASRock Z790 AM5 ATX MB-2320,ASRock,silver,DDR5,2183,74,G.SKILL DDR5 64GB 1866MHz 2x RAM-0134,G.SKILL,silver,DDR5,no,853,45,3036,119,37.103
ASUS B650 LGA1700 mATX MB-2554,ASUS,gray,DDR4,303,61,G.SKILL DDR4 8GB 4800MHz 4x RAM-1773,G.SKILL,silver,DDR4,yes,1075,86,1378,147,36.31
MSI X670 LGA1700 mATX MB-1858,MSI,gray,DDR4,1673,48,G.SKILL DDR4 16GB 4800MHz 4x RAM-2442,G.SKILL,white,DDR4,no,1102,85,2775,133,33.333
ASUS B650 LGA1700 Mini-ITX MB-2229,ASUS,silver,DDR4,1727,100,Crucial DDR4 32GB 6000MHz 1x RAM-2468,Crucial,silver,DDR4,yes,1242,55,2969,155,33.036
MSI X670 AM5 ATX MB-1749,MSI,silver,DDR4,1112,94,Crucial DDR4 64GB 6400MHz 1x RAM-0272,Crucial,gray,DDR4,no,1104,79,2216,173,32.143
MSI Z790 LGA1700 Mini-ITX MB-1061,MSI,gray,DDR5,1151,65,Kingston DDR5 8GB 5200MHz 4x RAM-0296,Kingston,white,DDR5,yes,411,77,1562,142,28.274
Biostar B760 LGA1700 ATX MB-0643,Biostar,silver,DDR5,1264,88,G.SKILL DDR5 32GB 3200MHz 2x RAM-2394,G.SKILL,white,DDR5,no,1087,92,2351,180,27.381
MSI Z790 LGA1700 Mini-ITX MB-1745,MSI,gray,DDR4,988,65,Corsair DDR4 8GB 3200MHz 4x RAM-2833,Corsair,silver,DDR4,no,961,85,1949,150,25.595
MSI X670 AM5 Mini-ITX MB-2781,MSI,white,DDR5,718,52,Kingston DDR5 8GB 1600MHz 1x RAM-0322,Kingston,white,DDR5,yes,297,52,1015,104,25.595
ASRock X670 AM5 Mini-ITX MB-2876,ASRock,silver,DDR4,788,76,Crucial DDR4 16GB 3200MHz 2x RAM-0587,Crucial,black,DDR4,yes,480,87,1268,163,21.429
Biostar B760 LGA1700 Mini-ITX MB-2049,Biostar,gray,DDR5,1199,62,G.SKILL DDR5 32GB 4000MHz 2x RAM-0273,G.SKILL,black,DDR5,no,656,92,1855,154,19.643
Biostar B650 LGA1700 Mini-ITX MB-1701,Biostar,silver,DDR5,1172,87,Crucial DDR5 8GB 1333MHz 2x RAM-1311,Crucial,gray,DDR5,yes,498,89,1670,176,19.444
ASUS B760 LGA1700 ATX MB-1413,ASUS,silver,DDR5,819,97,Kingston DDR5 16GB 1333MHz 2x RAM-2319,Kingston,silver,DDR5,no,1385,52,2204,149,18.849
ASRock B760 LGA1700 Mini-ITX MB-1919,ASRock,white,DDR4,317,53,Kingston DDR4 64GB 3200MHz 1x RAM-2246,Kingston,gray,DDR4,yes,953,88,1270,141,16.667
MSI X670 LGA1700 mATX MB-1764,MSI,black,DDR5,1757,48,Crucial DDR5 16GB 1600MHz 4x RAM-2890,Crucial,white,DDR5,no,1088,85,2845,133,16.667
Biostar Z790 LGA1700 Mini-ITX MB-2997,Biostar,gray,DDR4,924,49,Kingston DDR4 64GB 3200MHz 1x RAM-1521,Kingston,black,DDR4,yes,267,56,1191,105,16.667
Gigabyte X670 AM5 mATX MB-2265,Gigabyte,white,DDR5,1926,100,Crucial DDR5 16GB 5600MHz 2x RAM-2232,Crucial,silver,DDR5,no,365,85,2291,185,13.69
ASRock Z790 AM5 ATX MB-1929,ASRock,white,DDR5,1432,79,Kingston DDR5 32GB 3200MHz 4x RAM-1920,Kingston,silver,DDR5,no,699,70,2131,149,13.095
Gigabyte B650 LGA1700 mATX MB-0548,Gigabyte,white,DDR4,924,73,Patriot DDR4 8GB 3600MHz 2x RAM-0785,Patriot,silver,DDR4,no,266,82,1190,155,11.607
Biostar B760 LGA1700 Mini-ITX MB-0072,Biostar,white,DDR5,991,47,Kingston DDR5 32GB 2400MHz 2x RAM-2626,Kingston,black,DDR5,no,290,48,1281,95,4.167
ASUS X670 LGA1700 mATX MB-0723,ASUS,gray,DDR4,733,64,Corsair DDR4 16GB 3200MHz 1x RAM-1440,Corsair,black,DDR4,no,1289,53,2022,117,3.571
ASRock B650 AM5 mATX MB-2567,ASRock,white,DDR5,1179,72,Crucial DDR5 8GB 1333MHz 2x RAM-1817,Crucial,white,DDR5,no,1393,79,2572,151,1.587
ASUS B760 AM5 Mini-ITX MB-2795,ASUS,black,DDR5,1830,48,G.SKILL DDR3 64GB 6400MHz 2x RAM-0302,G.SKILL,white,DDR3,yes,1061,99,2891,147,-999999
ASUS B760 AM5 ATX MB-2485,ASUS,gray,DDR4,1578,84,Corsair DDR3 32GB 1333MHz 4x RAM-1841,Corsair,silver,DDR3,no,293,72,1871,156,-999999
Biostar X670 LGA1700 ATX MB-0880,Biostar,black,DDR4,1667,54,G.SKILL DDR5 64GB 3600MHz 2x RAM-2789,G.SKILL,silver,DDR5,yes,639,99,2306,153,-999999
Biostar Z790 AM5 Mini-ITX MB-0011,Biostar,silver,DDR4,1226,66,G.SKILL DDR3 8GB 2400MHz 2x RAM-1961,G.SKILL,silver,DDR3,no,626,59,1852,125,-999999
ASRock X670 LGA1700 ATX MB-2363,ASRock,gray,DDR4,1053,64,G.SKILL DDR3 32GB 2400MHz 1x RAM-2408,G.SKILL,silver,DDR3,yes,1197,64,2250,128,-999999
ASUS B760 AM5 Mini-ITX MB-0235,ASUS,silver,DDR5,601,64,Corsair DDR4 16GB 1333MHz 4x RAM-2147,Corsair,gray,DDR4,no,902,66,1503,130,-999999
MSI B760 AM5 Mini-ITX MB-2401,MSI,white,DDR3,993,84,Corsair DDR5 64GB 1333MHz 4x RAM-2165,Corsair,black,DDR5,no,352,56,1345,140,-999999
ASUS Z790 LGA1700 ATX MB-0443,ASUS,black,DDR3,1589,84,Crucial DDR5 64GB 1600MHz 2x RAM-2312,Crucial,gray,DDR5,no,837,74,2426,158,-999999
MSI B760 LGA1700 Mini-ITX MB-2078,MSI,silver,DDR5,1238,60,Crucial DDR3 64GB 2400MHz 2x RAM-2967,Crucial,gray,DDR3,no,475,45,1713,105,-999999
Biostar X670 AM5 ATX MB-0355,Biostar,silver,DDR5,1711,71,Crucial DDR4 32GB 6000MHz 4x RAM-2265,Crucial,white,DDR4,yes,1283,57,2994,128,-999999
ASUS B760 LGA1700 Mini-ITX MB-1291,ASUS,silver,DDR5,1848,97,Kingston DDR3 16GB 5200MHz 4x RAM-0518,Kingston,white,DDR3,yes,454,65,2302,162,-999999
MSI X670 LGA1700 mATX MB-1772,MSI,silver,DDR5,1397,51,Kingston DDR4 32GB 1600MHz 2x RAM-2535,Kingston,gray,DDR4,yes,1153,54,2550,105,-999999
Biostar B760 AM5 ATX MB-1924,Biostar,gray,DDR3,1723,56,Corsair DDR4 8GB 1333MHz 2x RAM-1283,Corsair,silver,DDR4,no,663,51,2386,107,-999999
MSI Z790 AM5 Mini-ITX MB-0215,MSI,white,DDR5,1249,65,Kingston DDR3 8GB 2400MHz 4x RAM-2892,Kingston,white,DDR3,no,371,49,1620,114,-999999
ASRock X670 LGA1700 Mini-ITX MB-1210,ASRock,black,DDR5,1327,84,G.SKILL DDR4 64GB 3600MHz 1x RAM-1791,G.SKILL,gray,DDR4,yes,1248,84,2575,168,-999999
MSI B760 AM5 mATX MB-0901,MSI,black,DDR4,1429,87,Crucial DDR3 8GB 3600MHz 2x RAM-2562,Crucial,black,DDR3,yes,997,98,2426,185,-999999
Gigabyte B650 AM5 mATX MB-1108,Gigabyte,black,DDR5,969,82,G.SKILL DDR4 8GB 2400MHz 1x RAM-2515,G.SKILL,silver,DDR4,yes,1213,45,2182,127,-999999
Gigabyte Z790 LGA1700 mATX MB-0921,Gigabyte,gray,DDR5,1252,59,G.SKILL DDR3 8GB 3200MHz 4x RAM-1240,G.SKILL,silver,DDR3,no,1155,48,2407,107,-999999
ASRock Z790 AM5 Mini-ITX MB-0338,ASRock,black,DDR4,1223,67,Corsair DDR3 8GB 1600MHz 4x RAM-1351,Corsair,silver,DDR3,yes,1008,66,2231,133,-999999
ASRock B650 LGA1700 ATX MB-1099,ASRock,white,DDR4,2187,73,Crucial DDR5 16GB 1600MHz 1x RAM-2583,Crucial,white,DDR5,no,1291,69,3478,142,-999999
Biostar X670 LGA1700 mATX MB-0569,Biostar,gray,DDR3,2190,84,Kingston DDR4 64GB 4800MHz 1x RAM-1814,Kingston,silver,DDR4,yes,1211,76,3401,160,-999999
Biostar B760 LGA1700 ATX MB-0093,Biostar,silver,DDR3,1548,83,Corsair DDR5 32GB 6000MHz 2x RAM-2680,Corsair,silver,DDR5,yes,1291,99,2839,182,-999999
Gigabyte B760 AM5 ATX MB-1957,Gigabyte,white,DDR3,1592,48,G.SKILL DDR5 16GB 1600MHz 1x RAM-0068,G.SKILL,black,DDR5,yes,268,64,1860,112,-999999
MSI B650 LGA1700 mATX MB-1600,MSI,silver,DDR3,1840,46,Kingston DDR5 32GB 3600MHz 2x RAM-1879,Kingston,gray,DDR5,yes,1379,81,3219,127,-999999
MSI B760 LGA1700 mATX MB-1617,MSI,gray,DDR4,1802,80,Corsair DDR5 8GB 5600MHz 4x RAM-1757,Corsair,silver,DDR5,yes,1205,59,3007,139,-999999
Gigabyte Z790 LGA1700 Mini-ITX MB-2275,Gigabyte,black,DDR3,758,74,G.SKILL DDR5 64GB 1866MHz 2x RAM-0134,G.SKILL,silver,DDR5,no,853,45,1611,119,-999999
MSI B650 AM5 mATX MB-0075,MSI,white,DDR3,1903,57,Corsair DDR4 16GB 2400MHz 2x RAM-1188,Corsair,silver,DDR4,no,1385,71,3288,128,-999999
Biostar Z790 AM5 ATX MB-0020,Biostar,black,DDR3,766,49,Crucial DDR5 64GB 3200MHz 4x RAM-0582,Crucial,white,DDR5,no,985,100,1751,149,-999999
Gigabyte X670 LGA1700 mATX MB-0290,Gigabyte,black,DDR4,2144,46,Kingston DDR5 64GB 3600MHz 1x RAM-2418,Kingston,white,DDR5,yes,1052,99,3196,145,-999999
ASRock X670 AM5 ATX MB-2955,ASRock,black,DDR3,792,56,Kingston DDR4 32GB 1333MHz 1x RAM-0488,Kingston,black,DDR4,no,536,46,1328,102,-999999
Gigabyte B760 LGA1700 Mini-ITX MB-1106,Gigabyte,silver,DDR5,1286,77,G.SKILL DDR4 8GB 3200MHz 1x RAM-0971,G.SKILL,white,DDR4,yes,239,55,1525,132,-999999
Gigabyte B760 LGA1700 mATX MB-1606,Gigabyte,black,DDR4,387,51,Corsair DDR3 64GB 6000MHz 4x RAM-2701,Corsair,silver,DDR3,no,766,74,1153,125,-999999
ASUS B760 LGA1700 ATX MB-0963,ASUS,black,DDR3,1599,87,Corsair DDR5 8GB 3600MHz 2x RAM-1571,Corsair,gray,DDR5,yes,335,59,1934,146,-999999
MSI B760 LGA1700 mATX MB-0796,MSI,silver,DDR4,1737,69,Kingston DDR3 8GB 3600MHz 2x RAM-0360,Kingston,silver,DDR3,no,392,75,2129,144,-999999
Biostar B760 LGA1700 ATX MB-2827,Biostar,silver,DDR4,1965,76,Crucial DDR3 16GB 2400MHz 2x RAM-2087,Crucial,white,DDR3,yes,332,56,2297,132,-999999
ASRock B650 AM5 ATX MB-0520,ASRock,white,DDR5,1655,78,Kingston DDR4 64GB 5600MHz 4x RAM-1494,Kingston,black,DDR4,yes,1154,78,2809,156,-999999
