motherboard_name,motherboard_brand,motherboard_color,motherboard_supported_ram_type,motherboard_price,motherboard_value,ram_name,ram_brand,ram_color,ram_type,ram_rgb,ram_price,ram_value,total_price,total_value,score
ASUS Z790 LGA1700 mATX MB-2890,ASUS,white,DDR5,378,59,G.SKILL DDR5 8GB 5600MHz 4x RAM-2644,G.SKILL,black,DDR5,no,869,83,1247,142,63.095
ASRock B760 LGA1700 ATX MB-0800,ASRock,black,DDR5,783,94,G.SKILL DDR5 16GB 4800MHz 4x RAM-2205,G.SKILL,white,DDR5,no,1186,49,1969,143,63.095
Biostar B760 LGA1700 ATX MB-0858,Biostar,white,DDR5,1056,87,Crucial DDR5 32GB 4800MHz 2x RAM-2921,Crucial,gray,DDR5,no,1110,71,2166,158,50.0
MSI Z790 AM5 Mini-ITX MB-2294,MSI,black,DDR5,1925,59,Corsair DDR5 32GB 2133MHz 4x RAM-0066,Corsair,gray,DDR5,yes,511,84,2436,143,49.206
Gigabyte B650 AM5 ATX MB-2843,Gigabyte,black,DDR3,954,59,Corsair DDR3 64GB 5200MHz 2x RAM-0286,Corsair,white,DDR3,yes,1079,76,2033,135,40.774
MSI Z790 LGA1700 mATX MB-2437,MSI,silver,DDR5,481,96,Corsair DDR5 16GB 3200MHz 1x RAM-2220,Corsair,gray,DDR5,no,787,65,1268,161,39.286
MSI Z790 LGA1700 Mini-ITX MB-1188,MSI,silver,DDR4,1568,85,Kingston DDR4 32GB 6000MHz 4x RAM-0136,Kingston,white,DDR4,yes,749,63,2317,148,24.702
ASUS B760 AM5 mATX MB-2526,ASUS,black,DDR3,2016,52,Corsair DDR3 16GB 1333MHz 2x RAM-1481,Corsair,white,DDR3,yes,292,92,2308,144,20.039
MSI Z790 LGA1700 ATX MB-1930,MSI,gray,DDR3,930,71,G.SKILL DDR3 8GB 6000MHz 4x RAM-1425,G.SKILL,gray,DDR3,no,956,92,1886,163,19.345
MSI B650 LGA1700 Mini-ITX MB-0250,MSI,gray,DDR3,1449,73,Crucial DDR3 64GB 1600MHz 1x RAM-1422,Crucial,black,DDR3,yes,849,67,2298,140,15.476
ASRock B760 LGA1700 mATX MB-1315,ASRock,gray,DDR3,1451,50,Kingston DDR3 8GB 6000MHz 1x RAM-1251,Kingston,black,DDR3,yes,982,96,2433,146,14.583
MSI B650 AM5 mATX MB-2175,MSI,silver,DDR3,844,98,Crucial DDR3 8GB 5600MHz 1x RAM-1620,Crucial,black,DDR3,yes,754,73,1598,171,14.286
Biostar B760 LGA1700 ATX MB-0752,Biostar,gray,DDR4,630,59,Crucial DDR4 64GB 6000MHz 1x RAM-1341,Crucial,black,DDR4,no,334,56,964,115,9.226
MSI X670 AM5 ATX MB-1749,MSI,silver,DDR4,1112,94,Corsair DDR4 64GB 1333MHz 1x RAM-1593,Corsair,black,DDR4,no,1394,97,2506,191,5.754
MSI Z790 LGA1700 mATX MB-1676,MSI,gray,DDR4,1556,67,Patriot DDR4 32GB 1866MHz 4x RAM-0201,Patriot,silver,DDR4,no,589,42,2145,109,3.769
